Date,Value1,Value2
2013-07-09 17,25,31.0
2013-07-09 18,41,39.0
2013-07-09 19,26,25.0
2013-07-09 20,7,10.0
2013-07-09 21,13,8.0
2013-07-09 22,8,2.0
2013-07-09 23,4,5.0
2013-07-10 00,1,1.0
2013-07-10 01,1,1.0
2013-07-10 02,0,1.0
2013-07-10 03,0,0.0
2013-07-10 04,0,0.0
2013-07-10 05,1,0.0
2013-07-10 06,6,1.0
2013-07-10 07,7,6.0
2013-07-10 08,15,3.0
2013-07-10 09,7,11.0
2013-07-10 10,12,7.0
2013-07-10 11,2,9.0
2013-07-10 12,8,15.0
2013-07-10 13,11,9.0
2013-07-10 14,14,13.0
2013-07-10 15,6,13.0
2013-07-10 16,17,6.0
2013-07-10 17,25,24.0
2013-07-10 18,20,54.0
2013-07-10 19,22,14.0
2013-07-10 20,20,15.0
2013-07-10 21,15,4.0
2013-07-10 22,12,9.0
2013-07-10 23,4,9.0
2013-07-11 00,2,2.0
2013-07-11 01,2,0.0
2013-07-11 02,0,0.0
2013-07-11 03,0,0.0
2013-07-11 04,0,0.0
2013-07-11 05,1,2.0
2013-07-11 06,4,2.0
2013-07-11 07,16,7.0
2013-07-11 08,10,12.0
2013-07-11 09,20,10.0
2013-07-11 10,6,8.0
2013-07-11 11,13,10.0
2013-07-11 12,12,10.0
2013-07-11 13,12,8.0
2013-07-11 14,7,11.0
2013-07-11 15,11,16.0
2013-07-11 16,17,11.0
2013-07-11 17,20,17.0
2013-07-11 18,15,18.0
2013-07-11 19,16,18.0
2013-07-11 20,17,9.0
2013-07-11 21,22,13.0
2013-07-11 22,12,8.0
2013-07-11 23,7,9.0
2013-07-12 00,3,2.0
2013-07-12 01,3,3.0
2013-07-12 02,4,0.0
2013-07-12 03,1,1.0
2013-07-12 04,0,0.0
2013-07-12 05,1,0.0
2013-07-12 06,5,0.0
2013-07-12 07,8,3.0
2013-07-12 08,11,4.0
2013-07-12 09,16,14.0
2013-07-12 10,9,12.0
2013-07-12 11,11,15.0
2013-07-12 12,12,24.0
2013-07-12 13,12,18.0
2013-07-12 14,9,7.0
2013-07-12 15,8,9.0
2013-07-12 16,14,23.0
2013-07-12 17,17,24.0
2013-07-12 18,14,12.0
2013-07-12 19,10,6.0
2013-07-12 20,3,5.0
2013-07-12 21,1,4.0
2013-07-12 22,2,1.0
2013-07-12 23,2,2.0
2013-07-13 00,1,3.0
2013-07-13 01,3,1.0
2013-07-13 02,0,0.0
2013-07-13 03,0,0.0
2013-07-13 04,1,0.0
2013-07-13 05,2,0.0
2013-07-13 06,1,0.0
2013-07-13 07,5,2.0
2013-07-13 08,7,5.0
2013-07-13 09,8,9.0
2013-07-13 10,9,8.0
2013-07-13 11,13,19.0
2013-07-13 12,23,15.0
2013-07-13 13,23,26.0
2013-07-13 14,34,36.0
2013-07-13 15,25,23.0
2013-07-13 16,31,25.0
2013-07-13 17,20,21.0
2013-07-13 18,19,21.0
2013-07-13 19,16,19.0
2013-07-13 20,21,9.0
2013-07-13 21,6,7.0
2013-07-13 22,16,17.0
2013-07-13 23,12,2.0
2013-07-14 00,6,4.0
2013-07-14 01,2,7.0
2013-07-14 02,3,1.0
2013-07-14 03,1,2.0
2013-07-14 04,0,0.0
2013-07-14 05,0,0.0
2013-07-14 06,1,0.0
2013-07-14 07,1,0.0
2013-07-14 08,6,2.0
2013-07-14 09,10,3.0
2013-07-14 10,10,2.0
2013-07-14 11,19,8.0
2013-07-14 12,27,12.0
2013-07-14 13,19,23.0
2013-07-14 14,28,16.0
2013-07-14 15,30,36.0
2013-07-14 16,28,29.0
2013-07-14 17,16,16.0
2013-07-14 18,36,31.0
2013-07-14 19,26,21.0
2013-07-14 20,26,11.0
2013-07-14 21,17,17.0
2013-07-14 22,11,13.0
2013-07-14 23,7,2.0
2013-07-15 00,4,3.0
2013-07-15 01,0,1.0
2013-07-15 02,2,3.0
2013-07-15 03,2,0.0
2013-07-15 04,1,0.0
2013-07-15 05,0,1.0
2013-07-15 06,6,1.0
2013-07-15 07,4,6.0
2013-07-15 08,20,12.0
2013-07-15 09,11,12.0
2013-07-15 10,8,8.0
2013-07-15 11,6,9.0
2013-07-15 12,15,7.0
2013-07-15 13,9,23.0
2013-07-15 14,10,14.0
2013-07-15 15,12,11.0
2013-07-15 16,22,16.0
2013-07-15 17,37,33.0
2013-07-15 18,28,39.0
2013-07-15 19,30,42.0
2013-07-15 20,23,13.0
2013-07-15 21,15,12.0
2013-07-15 22,17,5.0
2013-07-15 23,10,3.0
2013-07-16 00,2,0.0
2013-07-16 01,1,2.0
2013-07-16 02,0,3.0
2013-07-16 03,0,0.0
2013-07-16 04,0,2.0
2013-07-16 05,1,1.0
2013-07-16 06,5,4.0
2013-07-16 07,15,8.0
2013-07-16 08,24,21.0
2013-07-16 09,18,13.0
2013-07-16 10,16,6.0
2013-07-16 11,10,6.0
2013-07-16 12,9,14.0
2013-07-16 13,19,18.0
2013-07-16 14,13,8.0
2013-07-16 15,12,12.0
2013-07-16 16,27,8.0
2013-07-16 17,23,40.0
2013-07-16 18,47,64.0
2013-07-16 19,36,23.0
2013-07-16 20,20,9.0
2013-07-16 21,16,16.0
2013-07-16 22,9,9.0
2013-07-16 23,6,4.0
2013-07-17 00,2,2.0
2013-07-17 01,2,2.0
2013-07-17 02,1,0.0
2013-07-17 03,0,0.0
2013-07-17 04,0,0.0
2013-07-17 05,1,0.0
2013-07-17 06,1,2.0
2013-07-17 07,7,7.0
2013-07-17 08,10,12.0
2013-07-17 09,20,17.0
2013-07-17 10,13,11.0
2013-07-17 11,11,5.0
2013-07-17 12,13,13.0
2013-07-17 13,9,6.0
2013-07-17 14,10,19.0
2013-07-17 15,18,11.0
2013-07-17 16,18,13.0
2013-07-17 17,35,48.0
2013-07-17 18,44,36.0
2013-07-17 19,30,36.0
2013-07-17 20,18,13.0
2013-07-17 21,20,18.0
2013-07-17 22,10,8.0
2013-07-17 23,9,8.0
2013-07-18 00,3,0.0
2013-07-18 01,2,3.0
2013-07-18 02,0,3.0
2013-07-18 03,0,0.0
2013-07-18 04,0,0.0
2013-07-18 05,2,0.0
2013-07-18 06,4,3.0
2013-07-18 07,6,3.0
2013-07-18 08,18,11.0
2013-07-18 09,16,9.0
2013-07-18 10,12,12.0
2013-07-18 11,11,8.0
2013-07-18 12,10,9.0
2013-07-18 13,19,10.0
2013-07-18 14,15,13.0
2013-07-18 15,11,9.0
2013-07-18 16,20,18.0
2013-07-18 17,32,39.0
2013-07-18 18,36,45.0
2013-07-18 19,30,0.0
2013-07-18 20,32,2.0
2013-07-18 21,7,4.0
2013-07-18 22,15,6.0
2013-07-18 23,8,3.0
2013-07-19 00,4,0.0
2013-07-19 01,3,1.0
2013-07-19 02,1,2.0
2013-07-19 03,1,0.0
2013-07-19 04,0,0.0
2013-07-19 05,0,0.0
2013-07-19 06,3,3.0
2013-07-19 07,8,4.0
2013-07-19 08,15,16.0
2013-07-19 09,12,14.0
2013-07-19 10,7,6.0
2013-07-19 11,17,15.0
2013-07-19 12,11,10.0
2013-07-19 13,11,16.0
2013-07-19 14,16,27.0
2013-07-19 15,9,14.0
2013-07-19 16,24,21.0
2013-07-19 17,28,34.0
2013-07-19 18,33,30.0
2013-07-19 19,21,19.0
2013-07-19 20,17,17.0
2013-07-19 21,9,4.0
2013-07-19 22,6,5.0
2013-07-19 23,9,4.0
2013-07-20 00,2,1.0
2013-07-20 01,4,2.0
2013-07-20 02,1,4.0
2013-07-20 03,1,2.0
2013-07-20 04,0,0.0
2013-07-20 05,0,2.0
2013-07-20 06,0,1.0
2013-07-20 07,3,0.0
2013-07-20 08,5,9.0
2013-07-20 09,10,13.0
2013-07-20 10,9,13.0
2013-07-20 11,17,24.0
2013-07-20 12,21,16.0
2013-07-20 13,26,19.0
2013-07-20 14,24,17.0
2013-07-20 15,20,21.0
2013-07-20 16,25,29.0
2013-07-20 17,23,22.0
2013-07-20 18,17,14.0
2013-07-20 19,15,18.0
2013-07-20 20,10,17.0
2013-07-20 21,3,6.0
2013-07-20 22,5,6.0
2013-07-20 23,4,19.0
2013-07-21 00,7,10.0
2013-07-21 01,2,3.0
2013-07-21 02,2,2.0
2013-07-21 03,3,4.0
2013-07-21 04,2,1.0
2013-07-21 05,0,0.0
2013-07-21 06,1,0.0
2013-07-21 07,0,1.0
2013-07-21 08,4,0.0
2013-07-21 09,1,2.0
2013-07-21 10,14,7.0
2013-07-21 11,8,23.0
2013-07-21 12,12,24.0
2013-07-21 13,19,16.0
2013-07-21 14,17,24.0
2013-07-21 15,18,22.0
2013-07-21 16,16,36.0
2013-07-21 17,13,21.0
2013-07-21 18,16,4.0
2013-07-21 19,20,4.0
2013-07-21 20,14,3.0
2013-07-21 21,18,18.0
2013-07-21 22,8,12.0
2013-07-21 23,10,10.0
2013-07-22 00,2,5.0
2013-07-22 01,2,1.0
2013-07-22 02,1,0.0
2013-07-22 03,1,2.0
2013-07-22 04,0,0.0
2013-07-22 05,0,1.0
2013-07-22 06,1,3.0
2013-07-22 07,12,3.0
2013-07-22 08,24,8.0
2013-07-22 09,13,20.0
2013-07-22 10,11,7.0
2013-07-22 11,8,17.0
2013-07-22 12,7,5.0
2013-07-22 13,12,19.0
2013-07-22 14,6,19.0
2013-07-22 15,15,14.0
2013-07-22 16,17,20.0
2013-07-22 17,41,34.0
2013-07-22 18,40,37.0
2013-07-22 19,37,7.0
2013-07-22 20,14,13.0
2013-07-22 21,11,4.0
2013-07-22 22,2,1.0
2013-07-22 23,4,3.0
2013-07-23 00,2,0.0
2013-07-23 01,1,1.0
2013-07-23 02,0,0.0
2013-07-23 03,0,0.0
2013-07-23 04,0,0.0
2013-07-23 05,1,1.0
2013-07-23 06,8,0.0
2013-07-23 07,10,2.0
2013-07-23 08,24,11.0
2013-07-23 09,18,12.0
2013-07-23 10,8,5.0
2013-07-23 11,8,18.0
2013-07-23 12,17,12.0
2013-07-23 13,14,17.0
2013-07-23 14,11,11.0
2013-07-23 15,18,16.0
2013-07-23 16,19,31.0
2013-07-23 17,31,34.0
2013-07-23 18,36,39.0
2013-07-23 19,37,26.0
2013-07-23 20,23,11.0
2013-07-23 21,15,10.0
2013-07-23 22,16,8.0
2013-07-23 23,7,4.0
2013-07-24 00,6,4.0
2013-07-24 01,5,1.0
2013-07-24 02,0,0.0
2013-07-24 03,1,0.0
2013-07-24 04,0,0.0
2013-07-24 05,1,1.0
2013-07-24 06,7,0.0
2013-07-24 07,15,6.0
2013-07-24 08,24,13.0
2013-07-24 09,26,27.0
2013-07-24 10,14,9.0
2013-07-24 11,10,16.0
2013-07-24 12,10,9.0
2013-07-24 13,11,13.0
2013-07-24 14,14,16.0
2013-07-24 15,13,15.0
2013-07-24 16,16,23.0
2013-07-24 17,25,50.0
2013-07-24 18,27,56.0
2013-07-24 19,27,26.0
2013-07-24 20,27,28.0
2013-07-24 21,21,10.0
2013-07-24 22,10,5.0
2013-07-24 23,8,3.0
2013-07-25 00,2,3.0
2013-07-25 01,2,4.0
2013-07-25 02,0,0.0
2013-07-25 03,1,2.0
2013-07-25 04,0,0.0
2013-07-25 05,1,1.0
2013-07-25 06,3,1.0
2013-07-25 07,11,6.0
2013-07-25 08,15,9.0
2013-07-25 09,11,11.0
2013-07-25 10,10,10.0
2013-07-25 11,8,7.0
2013-07-25 12,9,16.0
2013-07-25 13,10,17.0
2013-07-25 14,12,0.0
2013-07-25 15,11,10.0
2013-07-25 16,20,25.0
2013-07-25 17,18,52.0
2013-07-25 18,30,34.0
2013-07-25 19,25,30.0
2013-07-25 20,15,18.0
2013-07-25 21,10,7.0
2013-07-25 22,7,4.0
2013-07-25 23,2,4.0
2013-07-26 00,2,3.0
2013-07-26 01,2,3.0
2013-07-26 02,0,2.0
2013-07-26 03,1,0.0
2013-07-26 04,0,0.0
2013-07-26 05,0,0.0
2013-07-26 06,5,4.0
2013-07-26 07,8,4.0
2013-07-26 08,26,13.0
2013-07-26 09,14,23.0
2013-07-26 10,13,12.0
2013-07-26 11,9,17.0
2013-07-26 12,12,18.0
2013-07-26 13,12,11.0
2013-07-26 14,20,24.0
2013-07-26 15,27,13.0
2013-07-26 16,34,43.0
2013-07-26 17,36,54.0
2013-07-26 18,38,42.0
2013-07-26 19,26,20.0
2013-07-26 20,12,10.0
2013-07-26 21,12,10.0
2013-07-26 22,7,5.0
2013-07-26 23,15,8.0
2013-07-27 00,4,1.0
2013-07-27 01,3,2.0
2013-07-27 02,6,3.0
2013-07-27 03,4,0.0
2013-07-27 04,0,0.0
2013-07-27 05,0,0.0
2013-07-27 06,1,1.0
2013-07-27 07,3,0.0
2013-07-27 08,6,13.0
2013-07-27 09,15,10.0
2013-07-27 10,17,18.0
2013-07-27 11,19,20.0
2013-07-27 12,17,28.0
2013-07-27 13,15,25.0
2013-07-27 14,32,40.0
2013-07-27 15,25,32.0
2013-07-27 16,24,27.0
2013-07-27 17,33,28.0
2013-07-27 18,29,29.0
2013-07-27 19,36,18.0
2013-07-27 20,18,11.0
2013-07-27 21,9,13.0
2013-07-27 22,8,4.0
2013-07-27 23,4,5.0
2013-07-28 00,6,7.0
2013-07-28 01,2,0.0
2013-07-28 02,1,1.0
2013-07-28 03,2,1.0
2013-07-28 04,3,1.0
2013-07-28 05,0,1.0
2013-07-28 06,0,4.0
2013-07-28 07,1,2.0
2013-07-28 08,6,1.0
2013-07-28 09,6,2.0
2013-07-28 10,16,7.0
2013-07-28 11,26,16.0
2013-07-28 12,19,17.0
2013-07-28 13,17,18.0
2013-07-28 14,10,13.0
2013-07-28 15,26,29.0
2013-07-28 16,27,41.0
2013-07-28 17,29,23.0
2013-07-28 18,10,15.0
2013-07-28 19,13,9.0
2013-07-28 20,9,3.0
2013-07-28 21,8,6.0
2013-07-28 22,7,4.0
2013-07-28 23,1,1.0
2013-07-29 00,3,1.0
2013-07-29 01,0,0.0
2013-07-29 02,0,0.0
2013-07-29 03,1,1.0
2013-07-29 04,1,0.0
2013-07-29 05,1,3.0
2013-07-29 06,5,2.0
2013-07-29 07,11,3.0
2013-07-29 08,19,13.0
2013-07-29 09,22,10.0
2013-07-29 10,7,12.0
2013-07-29 11,12,13.0
2013-07-29 12,14,28.0
2013-07-29 13,16,21.0
2013-07-29 14,12,21.0
2013-07-29 15,16,17.0
2013-07-29 16,24,28.0
2013-07-29 17,34,32.0
2013-07-29 18,34,79.0
2013-07-29 19,35,35.0
2013-07-29 20,27,16.0
2013-07-29 21,15,9.0
2013-07-29 22,14,6.0
2013-07-29 23,5,4.0
2013-07-30 00,0,2.0
2013-07-30 01,1,1.0
2013-07-30 02,0,0.0
2013-07-30 03,1,1.0
2013-07-30 04,0,0.0
2013-07-30 05,3,0.0
2013-07-30 06,9,6.0
2013-07-30 07,13,7.0
2013-07-30 08,24,11.0
2013-07-30 09,29,22.0
2013-07-30 10,16,10.0
2013-07-30 11,9,8.0
2013-07-30 12,15,13.0
2013-07-30 13,11,17.0
2013-07-30 14,21,27.0
2013-07-30 15,14,32.0
2013-07-30 16,16,19.0
2013-07-30 17,38,35.0
2013-07-30 18,55,42.0
2013-07-30 19,30,31.0
2013-07-30 20,22,14.0
2013-07-30 21,14,14.0
2013-07-30 22,7,11.0
2013-07-30 23,6,6.0
2013-07-31 00,4,4.0
2013-07-31 01,1,2.0
2013-07-31 02,0,0.0
2013-07-31 03,0,0.0
2013-07-31 04,0,0.0
2013-07-31 05,0,0.0
2013-07-31 06,6,4.0
2013-07-31 07,13,7.0
2013-07-31 08,17,16.0
2013-07-31 09,15,27.0
2013-07-31 10,16,12.0
2013-07-31 11,9,8.0
2013-07-31 12,19,17.0
2013-07-31 13,15,23.0
2013-07-31 14,17,30.0
2013-07-31 15,27,28.0
2013-07-31 16,20,24.0
2013-07-31 17,40,40.0
2013-07-31 18,44,65.0
2013-07-31 19,22,31.0
2013-07-31 20,27,18.0
2013-07-31 21,16,10.0
2013-07-31 22,7,8.0
2013-07-31 23,12,6.0
2013-08-01 00,8,3.0
2013-08-01 01,4,2.0
2013-08-01 02,1,1.0
2013-08-01 03,0,0.0
2013-08-01 04,1,1.0
2013-08-01 05,2,0.0
2013-08-01 06,8,2.0
2013-08-01 07,17,7.0
2013-08-01 08,25,15.0
2013-08-01 09,21,23.0
2013-08-01 10,14,4.0
2013-08-01 11,8,2.0
2013-08-01 12,2,0.0
2013-08-01 13,4,4.0
2013-08-01 14,6,1.0
2013-08-01 15,3,4.0
2013-08-01 16,11,7.0
2013-08-01 17,15,20.0
2013-08-01 18,27,35.0
2013-08-01 19,14,24.0
2013-08-01 20,10,12.0
2013-08-01 21,7,9.0
2013-08-01 22,6,7.0
2013-08-01 23,4,4.0
2013-08-02 00,3,2.0
2013-08-02 01,0,3.0
2013-08-02 02,0,0.0
2013-08-02 03,0,0.0
2013-08-02 04,1,0.0
2013-08-02 05,0,0.0
2013-08-02 06,4,4.0
2013-08-02 07,13,6.0
2013-08-02 08,21,12.0
2013-08-02 09,13,20.0
2013-08-02 10,10,16.0
2013-08-02 11,8,18.0
2013-08-02 12,25,24.0
2013-08-02 13,26,32.0
2013-08-02 14,16,33.0
2013-08-02 15,28,24.0
2013-08-02 16,28,39.0
2013-08-02 17,30,46.0
2013-08-02 18,30,44.0
2013-08-02 19,31,25.0
2013-08-02 20,10,18.0
2013-08-02 21,12,13.0
2013-08-02 22,8,8.0
2013-08-02 23,4,6.0
2013-08-03 00,3,3.0
2013-08-03 01,2,2.0
2013-08-03 02,3,1.0
2013-08-03 03,1,2.0
2013-08-03 04,0,2.0
2013-08-03 05,1,0.0
2013-08-03 06,0,1.0
2013-08-03 07,2,1.0
2013-08-03 08,4,8.0
2013-08-03 09,10,16.0
2013-08-03 10,9,24.0
2013-08-03 11,15,24.0
2013-08-03 12,13,37.0
2013-08-03 13,22,22.0
2013-08-03 14,17,33.0
2013-08-03 15,10,34.0
2013-08-03 16,27,35.0
2013-08-03 17,26,33.0
2013-08-03 18,23,20.0
2013-08-03 19,24,18.0
2013-08-03 20,22,14.0
2013-08-03 21,12,6.0
2013-08-03 22,8,4.0
2013-08-03 23,9,5.0
2013-08-04 00,6,4.0
2013-08-04 01,4,5.0
2013-08-04 02,2,1.0
2013-08-04 03,1,0.0
2013-08-04 04,2,2.0
2013-08-04 05,0,0.0
2013-08-04 06,0,1.0
2013-08-04 07,0,0.0
2013-08-04 08,5,1.0
2013-08-04 09,8,4.0
2013-08-04 10,12,11.0
2013-08-04 11,20,18.0
2013-08-04 12,26,10.0
2013-08-04 13,21,19.0
2013-08-04 14,23,28.0
2013-08-04 15,24,49.0
2013-08-04 16,31,32.0
2013-08-04 17,30,29.0
2013-08-04 18,23,23.0
2013-08-04 19,31,23.0
2013-08-04 20,29,18.0
2013-08-04 21,10,4.0
2013-08-04 22,8,5.0
2013-08-04 23,9,3.0
2013-08-05 00,2,3.0
2013-08-05 01,1,3.0
2013-08-05 02,1,0.0
2013-08-05 03,0,0.0
2013-08-05 04,0,0.0
2013-08-05 05,0,0.0
2013-08-05 06,1,4.0
2013-08-05 07,8,7.0
2013-08-05 08,30,13.0
2013-08-05 09,25,17.0
2013-08-05 10,6,11.0
2013-08-05 11,15,9.0
2013-08-05 12,21,20.0
2013-08-05 13,17,26.0
2013-08-05 14,15,26.0
2013-08-05 15,18,23.0
2013-08-05 16,21,23.0
2013-08-05 17,31,59.0
2013-08-05 18,43,68.0
2013-08-05 19,47,39.0
2013-08-05 20,21,15.0
2013-08-05 21,17,14.0
2013-08-05 22,13,7.0
2013-08-05 23,8,1.0
2013-08-06 00,3,3.0
2013-08-06 01,0,1.0
2013-08-06 02,2,0.0
2013-08-06 03,0,0.0
2013-08-06 04,0,0.0
2013-08-06 05,1,3.0
2013-08-06 06,5,2.0
2013-08-06 07,8,8.0
2013-08-06 08,26,10.0
2013-08-06 09,24,14.0
2013-08-06 10,11,13.0
2013-08-06 11,12,15.0
2013-08-06 12,8,7.0
2013-08-06 13,7,19.0
2013-08-06 14,6,9.0
2013-08-06 15,12,17.0
2013-08-06 16,16,21.0
2013-08-06 17,33,30.0
2013-08-06 18,42,67.0
2013-08-06 19,25,40.0
2013-08-06 20,32,21.0
2013-08-06 21,11,10.0
2013-08-06 22,10,6.0
2013-08-06 23,9,7.0
2013-08-07 00,1,7.0
2013-08-07 01,2,0.0
2013-08-07 02,1,0.0
2013-08-07 03,0,1.0
2013-08-07 04,0,0.0
2013-08-07 05,1,0.0
2013-08-07 06,4,2.0
2013-08-07 07,20,9.0
2013-08-07 08,23,15.0
2013-08-07 09,19,17.0
2013-08-07 10,11,15.0
2013-08-07 11,8,13.0
2013-08-07 12,12,21.0
2013-08-07 13,25,15.0
2013-08-07 14,13,33.0
2013-08-07 15,25,19.0
2013-08-07 16,21,17.0
2013-08-07 17,19,37.0
2013-08-07 18,31,71.0
2013-08-07 19,26,33.0
2013-08-07 20,21,18.0
2013-08-07 21,10,6.0
2013-08-07 22,10,3.0
2013-08-07 23,7,3.0
2013-08-08 00,0,2.0
2013-08-08 01,1,3.0
2013-08-08 02,0,0.0
2013-08-08 03,0,0.0
2013-08-08 04,0,0.0
2013-08-08 05,3,1.0
2013-08-08 06,2,4.0
2013-08-08 07,6,8.0
2013-08-08 08,40,12.0
2013-08-08 09,21,16.0
2013-08-08 10,9,22.0
2013-08-08 11,9,12.0
2013-08-08 12,16,19.0
2013-08-08 13,15,15.0
2013-08-08 14,15,16.0
2013-08-08 15,8,18.0
2013-08-08 16,16,16.0
2013-08-08 17,35,41.0
2013-08-08 18,9,14.0
2013-08-08 19,25,27.0
2013-08-08 20,19,18.0
2013-08-08 21,11,16.0
2013-08-08 22,10,3.0
2013-08-08 23,5,8.0
2013-08-09 00,2,4.0
2013-08-09 01,1,0.0
2013-08-09 02,0,0.0
2013-08-09 03,0,0.0
2013-08-09 04,0,0.0
2013-08-09 05,0,0.0
2013-08-09 06,2,1.0
2013-08-09 07,7,7.0
2013-08-09 08,15,8.0
2013-08-09 09,17,11.0
2013-08-09 10,9,6.0
2013-08-09 11,14,9.0
2013-08-09 12,10,10.0
2013-08-09 13,9,8.0
2013-08-09 14,16,21.0
2013-08-09 15,17,32.0
2013-08-09 16,28,36.0
2013-08-09 17,22,32.0
2013-08-09 18,29,35.0
2013-08-09 19,19,26.0
2013-08-09 20,11,15.0
2013-08-09 21,8,10.0
2013-08-09 22,11,9.0
2013-08-09 23,1,5.0
2013-08-10 00,6,0.0
2013-08-10 01,0,2.0
2013-08-10 02,3,2.0
2013-08-10 03,0,0.0
2013-08-10 04,0,0.0
2013-08-10 05,1,0.0
2013-08-10 06,1,2.0
2013-08-10 07,6,1.0
2013-08-10 08,9,9.0
2013-08-10 09,10,26.0
2013-08-10 10,13,42.0
2013-08-10 11,22,62.0
2013-08-10 12,19,61.0
2013-08-10 13,19,33.0
2013-08-10 14,17,26.0
2013-08-10 15,33,25.0
2013-08-10 16,29,48.0
2013-08-10 17,25,43.0
2013-08-10 18,28,14.0
2013-08-10 19,25,14.0
2013-08-10 20,25,11.0
2013-08-10 21,13,7.0
2013-08-10 22,5,19.0
2013-08-10 23,5,12.0
2013-08-11 00,7,6.0
2013-08-11 01,3,0.0
2013-08-11 02,2,1.0
2013-08-11 03,3,2.0
2013-08-11 04,0,2.0
2013-08-11 05,1,0.0
2013-08-11 06,2,1.0
2013-08-11 07,4,1.0
2013-08-11 08,3,2.0
2013-08-11 09,10,3.0
2013-08-11 10,19,8.0
2013-08-11 11,21,19.0
2013-08-11 12,25,34.0
2013-08-11 13,26,25.0
2013-08-11 14,37,37.0
2013-08-11 15,39,31.0
2013-08-11 16,20,30.0
2013-08-11 17,26,30.0
2013-08-11 18,27,22.0
2013-08-11 19,33,9.0
2013-08-11 20,14,19.0
2013-08-11 21,10,11.0
2013-08-11 22,8,5.0
2013-08-11 23,3,0.0
2013-08-12 00,3,4.0
2013-08-12 01,0,0.0
2013-08-12 02,0,5.0
2013-08-12 03,0,0.0
2013-08-12 04,1,0.0
2013-08-12 05,0,2.0
2013-08-12 06,4,0.0
2013-08-12 07,6,4.0
2013-08-12 08,13,3.0
2013-08-12 09,19,18.0
2013-08-12 10,10,3.0
2013-08-12 11,14,4.0
2013-08-12 12,14,21.0
2013-08-12 13,9,15.0
2013-08-12 14,15,21.0
2013-08-12 15,15,15.0
2013-08-12 16,20,26.0
2013-08-12 17,32,61.0
2013-08-12 18,48,47.0
2013-08-12 19,33,21.0
2013-08-12 20,19,18.0
2013-08-12 21,15,25.0
2013-08-12 22,13,11.0
2013-08-12 23,3,1.0
2013-08-13 00,2,0.0
2013-08-13 01,2,2.0
2013-08-13 02,2,0.0
2013-08-13 03,0,0.0
2013-08-13 04,0,1.0
2013-08-13 05,3,3.0
2013-08-13 06,10,2.0
2013-08-13 07,9,2.0
2013-08-13 08,2,5.0
2013-08-13 09,1,1.0
2013-08-13 10,2,0.0
2013-08-13 11,2,1.0
2013-08-13 12,2,2.0
2013-08-13 13,6,10.0
2013-08-13 14,10,14.0
2013-08-13 15,10,18.0
2013-08-13 16,25,15.0
2013-08-13 17,35,39.0
2013-08-13 18,41,31.0
2013-08-13 19,25,30.0
2013-08-13 20,21,13.0
2013-08-13 21,16,10.0
2013-08-13 22,3,6.0
2013-08-13 23,12,2.0
2013-08-14 00,1,0.0
2013-08-14 01,2,2.0
2013-08-14 02,0,1.0
2013-08-14 03,0,0.0
2013-08-14 04,1,0.0
2013-08-14 05,0,0.0
2013-08-14 06,6,2.0
2013-08-14 07,12,6.0
2013-08-14 08,22,16.0
2013-08-14 09,17,20.0
2013-08-14 10,13,12.0
2013-08-14 11,13,20.0
2013-08-14 12,12,28.0
2013-08-14 13,18,21.0
2013-08-14 14,22,26.0
2013-08-14 15,21,21.0
2013-08-14 16,18,29.0
2013-08-14 17,31,53.0
2013-08-14 18,43,45.0
2013-08-14 19,20,33.0
2013-08-14 20,16,22.0
2013-08-14 21,24,9.0
2013-08-14 22,16,8.0
2013-08-14 23,6,3.0
2013-08-15 00,5,2.0
2013-08-15 01,1,2.0
2013-08-15 02,1,0.0
2013-08-15 03,2,2.0
2013-08-15 04,0,0.0
2013-08-15 05,1,1.0
2013-08-15 06,2,3.0
2013-08-15 07,9,6.0
2013-08-15 08,30,9.0
2013-08-15 09,18,15.0
2013-08-15 10,16,9.0
2013-08-15 11,10,8.0
2013-08-15 12,12,27.0
2013-08-15 13,15,23.0
2013-08-15 14,21,9.0
2013-08-15 15,15,15.0
2013-08-15 16,7,27.0
2013-08-15 17,31,53.0
2013-08-15 18,37,46.0
2013-08-15 19,39,16.0
2013-08-15 20,22,17.0
2013-08-15 21,14,13.0
2013-08-15 22,12,8.0
2013-08-15 23,8,3.0
2013-08-16 00,3,1.0
2013-08-16 01,0,2.0
2013-08-16 02,1,0.0
2013-08-16 03,1,0.0
2013-08-16 04,1,1.0
2013-08-16 05,0,0.0
2013-08-16 06,8,0.0
2013-08-16 07,13,5.0
2013-08-16 08,17,11.0
2013-08-16 09,9,9.0
2013-08-16 10,15,7.0
2013-08-16 11,13,9.0
2013-08-16 12,13,15.0
2013-08-16 13,16,27.0
2013-08-16 14,22,30.0
2013-08-16 15,19,21.0
2013-08-16 16,23,23.0
2013-08-16 17,33,47.0
2013-08-16 18,36,30.0
2013-08-16 19,28,15.0
2013-08-16 20,10,16.0
2013-08-16 21,9,6.0
2013-08-16 22,8,6.0
2013-08-16 23,2,6.0
2013-08-17 00,2,6.0
2013-08-17 01,1,2.0
2013-08-17 02,0,1.0
2013-08-17 03,1,0.0
2013-08-17 04,0,0.0
2013-08-17 05,1,0.0
2013-08-17 06,2,1.0
2013-08-17 07,2,1.0
2013-08-17 08,9,13.0
2013-08-17 09,10,26.0
2013-08-17 10,15,55.0
2013-08-17 11,22,42.0
2013-08-17 12,28,48.0
