Date,Value1,Value2
2013-06-09 20,16,5.0
2013-06-09 21,3,1.0
2013-06-09 22,6,2.0
2013-06-09 23,2,2.0
2013-06-10 00,2,0.0
2013-06-10 01,0,0.0
2013-06-10 02,2,0.0
2013-06-10 03,0,0.0
2013-06-10 04,0,0.0
2013-06-10 05,0,0.0
2013-06-10 06,0,0.0
2013-06-10 07,3,0.0
2013-06-10 08,7,7.0
2013-06-10 09,4,0.0
2013-06-10 10,2,3.0
2013-06-10 11,0,0.0
2013-06-10 12,0,1.0
2013-06-10 13,0,1.0
2013-06-10 14,2,0.0
2013-06-10 15,0,1.0
2013-06-10 16,2,0.0
2013-06-10 17,2,0.0
2013-06-10 18,0,3.0
2013-06-10 19,1,2.0
2013-06-10 20,1,0.0
2013-06-10 21,0,1.0
2013-06-10 22,4,1.0
2013-06-10 23,0,0.0
2013-06-11 00,0,1.0
2013-06-11 01,0,0.0
2013-06-11 02,0,0.0
2013-06-11 03,0,0.0
2013-06-11 04,0,0.0
2013-06-11 05,1,0.0
2013-06-11 06,1,2.0
2013-06-11 07,4,1.0
2013-06-11 08,7,3.0
2013-06-11 09,5,9.0
2013-06-11 10,4,5.0
2013-06-11 11,2,4.0
2013-06-11 12,4,11.0
2013-06-11 13,9,11.0
2013-06-11 14,6,5.0
2013-06-11 15,7,0.0
2013-06-11 16,7,1.0
2013-06-11 17,5,1.0
2013-06-11 18,19,18.0
2013-06-11 19,7,21.0
2013-06-11 20,6,8.0
2013-06-11 21,7,5.0
2013-06-11 22,1,3.0
2013-06-11 23,4,3.0
2013-06-12 00,2,1.0
2013-06-12 01,0,0.0
2013-06-12 02,0,1.0
2013-06-12 03,0,0.0
2013-06-12 04,0,0.0
2013-06-12 05,1,0.0
2013-06-12 06,2,1.0
2013-06-12 07,3,3.0
2013-06-12 08,6,6.0
2013-06-12 09,5,5.0
2013-06-12 10,4,2.0
2013-06-12 11,4,4.0
2013-06-12 12,7,5.0
2013-06-12 13,8,13.0
2013-06-12 14,13,25.0
2013-06-12 15,9,9.0
2013-06-12 16,11,8.0
2013-06-12 17,18,19.0
2013-06-12 18,23,21.0
2013-06-12 19,11,18.0
2013-06-12 20,13,19.0
2013-06-12 21,5,9.0
2013-06-12 22,7,7.0
2013-06-12 23,5,8.0
2013-06-13 00,0,1.0
2013-06-13 01,1,1.0
2013-06-13 02,0,0.0
2013-06-13 03,1,0.0
2013-06-13 04,0,2.0
2013-06-13 05,0,2.0
2013-06-13 06,3,0.0
2013-06-13 07,2,2.0
2013-06-13 08,4,2.0
2013-06-13 09,6,3.0
2013-06-13 10,4,2.0
2013-06-13 11,3,0.0
2013-06-13 12,3,5.0
2013-06-13 13,5,2.0
2013-06-13 14,1,4.0
2013-06-13 15,4,6.0
2013-06-13 16,6,3.0
2013-06-13 17,11,8.0
2013-06-13 18,16,18.0
2013-06-13 19,4,2.0
2013-06-13 20,1,2.0
2013-06-13 21,1,0.0
2013-06-13 22,0,0.0
2013-06-13 23,0,1.0
2013-06-14 00,0,0.0
2013-06-14 01,0,0.0
2013-06-14 02,0,0.0
2013-06-14 03,0,0.0
2013-06-14 04,0,0.0
2013-06-14 05,0,0.0
2013-06-14 06,3,0.0
2013-06-14 07,1,1.0
2013-06-14 08,6,5.0
2013-06-14 09,9,3.0
2013-06-14 10,3,2.0
2013-06-14 11,5,7.0
2013-06-14 12,5,4.0
2013-06-14 13,7,9.0
2013-06-14 14,10,4.0
2013-06-14 15,12,8.0
2013-06-14 16,11,19.0
2013-06-14 17,18,8.0
2013-06-14 18,11,15.0
2013-06-14 19,13,8.0
2013-06-14 20,11,15.0
2013-06-14 21,7,12.0
2013-06-14 22,8,5.0
2013-06-14 23,8,3.0
2013-06-15 00,2,0.0
2013-06-15 01,3,2.0
2013-06-15 02,1,0.0
2013-06-15 03,1,0.0
2013-06-15 04,0,1.0
2013-06-15 05,0,0.0
2013-06-15 06,1,0.0
2013-06-15 07,2,1.0
2013-06-15 08,1,2.0
2013-06-15 09,10,9.0
2013-06-15 10,16,10.0
2013-06-15 11,12,10.0
2013-06-15 12,26,27.0
2013-06-15 13,23,29.0
2013-06-15 14,23,23.0
2013-06-15 15,20,31.0
2013-06-15 16,28,24.0
2013-06-15 17,34,24.0
2013-06-15 18,23,18.0
2013-06-15 19,17,15.0
2013-06-15 20,8,9.0
2013-06-15 21,10,7.0
2013-06-15 22,7,2.0
2013-06-15 23,7,1.0
2013-06-16 00,4,7.0
2013-06-16 01,6,4.0
2013-06-16 02,1,2.0
2013-06-16 03,2,0.0
2013-06-16 04,1,0.0
2013-06-16 05,1,0.0
2013-06-16 06,1,0.0
2013-06-16 07,6,0.0
2013-06-16 08,4,1.0
2013-06-16 09,8,5.0
2013-06-16 10,9,10.0
2013-06-16 11,11,9.0
2013-06-16 12,26,16.0
2013-06-16 13,20,21.0
2013-06-16 14,34,16.0
2013-06-16 15,18,11.0
2013-06-16 16,22,21.0
2013-06-16 17,24,21.0
2013-06-16 18,16,12.0
2013-06-16 19,22,11.0
2013-06-16 20,23,14.0
2013-06-16 21,17,9.0
2013-06-16 22,8,3.0
2013-06-16 23,1,2.0
2013-06-17 00,1,0.0
2013-06-17 01,2,1.0
2013-06-17 02,0,0.0
2013-06-17 03,2,0.0
2013-06-17 04,1,0.0
2013-06-17 05,0,0.0
2013-06-17 06,2,2.0
2013-06-17 07,5,2.0
2013-06-17 08,9,4.0
2013-06-17 09,13,7.0
2013-06-17 10,4,1.0
2013-06-17 11,4,7.0
2013-06-17 12,12,10.0
2013-06-17 13,11,13.0
2013-06-17 14,18,6.0
2013-06-17 15,6,8.0
2013-06-17 16,17,12.0
2013-06-17 17,19,8.0
2013-06-17 18,25,24.0
2013-06-17 19,21,36.0
2013-06-17 20,24,19.0
2013-06-17 21,10,7.0
2013-06-17 22,10,6.0
2013-06-17 23,5,3.0
2013-06-18 00,4,3.0
2013-06-18 01,4,0.0
2013-06-18 02,0,0.0
2013-06-18 03,0,0.0
2013-06-18 04,0,0.0
2013-06-18 05,0,0.0
2013-06-18 06,2,1.0
2013-06-18 07,5,2.0
2013-06-18 08,14,10.0
2013-06-18 09,10,7.0
2013-06-18 10,7,6.0
2013-06-18 11,10,10.0
2013-06-18 12,13,14.0
2013-06-18 13,12,17.0
2013-06-18 14,8,15.0
2013-06-18 15,3,16.0
2013-06-18 16,10,9.0
2013-06-18 17,4,7.0
2013-06-18 18,1,6.0
2013-06-18 19,1,1.0
2013-06-18 20,3,5.0
2013-06-18 21,5,3.0
2013-06-18 22,2,6.0
2013-06-18 23,0,4.0
2013-06-19 00,1,2.0
2013-06-19 01,1,0.0
2013-06-19 02,1,0.0
2013-06-19 03,0,0.0
2013-06-19 04,2,0.0
2013-06-19 05,2,0.0
2013-06-19 06,2,2.0
2013-06-19 07,4,3.0
2013-06-19 08,11,3.0
2013-06-19 09,10,6.0
2013-06-19 10,7,10.0
2013-06-19 11,9,11.0
2013-06-19 12,13,17.0
2013-06-19 13,11,13.0
2013-06-19 14,13,20.0
2013-06-19 15,8,12.0
2013-06-19 16,8,23.0
2013-06-19 17,23,20.0
2013-06-19 18,21,16.0
2013-06-19 19,17,39.0
2013-06-19 20,17,18.0
2013-06-19 21,14,14.0
2013-06-19 22,11,5.0
2013-06-19 23,5,3.0
2013-06-20 00,1,1.0
2013-06-20 01,2,0.0
2013-06-20 02,0,0.0
2013-06-20 03,1,0.0
2013-06-20 04,1,0.0
2013-06-20 05,1,0.0
2013-06-20 06,2,2.0
2013-06-20 07,8,3.0
2013-06-20 08,13,7.0
2013-06-20 09,13,8.0
2013-06-20 10,6,6.0
2013-06-20 11,13,9.0
2013-06-20 12,17,18.0
2013-06-20 13,13,15.0
2013-06-20 14,13,16.0
2013-06-20 15,12,6.0
2013-06-20 16,15,19.0
2013-06-20 17,22,25.0
2013-06-20 18,30,38.0
2013-06-20 19,23,36.0
2013-06-20 20,26,9.0
2013-06-20 21,10,11.0
2013-06-20 22,6,1.0
2013-06-20 23,6,3.0
2013-06-21 00,3,4.0
2013-06-21 01,2,0.0
2013-06-21 02,0,0.0
2013-06-21 03,0,0.0
2013-06-21 04,0,0.0
2013-06-21 05,0,0.0
2013-06-21 06,2,0.0
2013-06-21 07,7,6.0
2013-06-21 08,18,5.0
2013-06-21 09,21,14.0
2013-06-21 10,11,6.0
2013-06-21 11,13,2.0
2013-06-21 12,15,17.0
2013-06-21 13,10,15.0
2013-06-21 14,20,19.0
2013-06-21 15,26,17.0
2013-06-21 16,15,27.0
2013-06-21 17,31,33.0
2013-06-21 18,30,39.0
2013-06-21 19,27,20.0
2013-06-21 20,22,8.0
2013-06-21 21,17,11.0
2013-06-21 22,20,4.0
2013-06-21 23,12,6.0
2013-06-22 00,4,4.0
2013-06-22 01,4,0.0
2013-06-22 02,7,0.0
2013-06-22 03,0,2.0
2013-06-22 04,3,0.0
2013-06-22 05,0,0.0
2013-06-22 06,0,0.0
2013-06-22 07,1,1.0
2013-06-22 08,7,6.0
2013-06-22 09,10,9.0
2013-06-22 10,8,17.0
2013-06-22 11,18,22.0
2013-06-22 12,25,21.0
2013-06-22 13,15,26.0
2013-06-22 14,19,43.0
2013-06-22 15,20,34.0
2013-06-22 16,18,25.0
2013-06-22 17,26,21.0
2013-06-22 18,16,23.0
2013-06-22 19,24,29.0
2013-06-22 20,19,17.0
2013-06-22 21,15,11.0
2013-06-22 22,12,11.0
2013-06-22 23,8,9.0
2013-06-23 00,10,5.0
2013-06-23 01,6,6.0
2013-06-23 02,5,0.0
2013-06-23 03,3,2.0
2013-06-23 04,2,0.0
2013-06-23 05,1,0.0
2013-06-23 06,0,1.0
2013-06-23 07,2,1.0
2013-06-23 08,4,6.0
2013-06-23 09,8,3.0
2013-06-23 10,12,3.0
2013-06-23 11,21,24.0
2013-06-23 12,23,17.0
2013-06-23 13,25,24.0
2013-06-23 14,21,29.0
2013-06-23 15,25,26.0
2013-06-23 16,28,20.0
2013-06-23 17,48,28.0
2013-06-23 18,29,18.0
2013-06-23 19,22,5.0
2013-06-23 20,30,1.0
2013-06-23 21,23,5.0
2013-06-23 22,12,7.0
2013-06-23 23,6,8.0
2013-06-24 00,1,3.0
2013-06-24 01,0,0.0
2013-06-24 02,0,0.0
2013-06-24 03,0,0.0
2013-06-24 04,0,0.0
2013-06-24 05,1,0.0
2013-06-24 06,5,1.0
2013-06-24 07,11,5.0
